[ 0.925  0.075]
[ 0.4595  0.5405]
[ 0.0430622  0.9569378]
[ 0.03263509  0.96736491]
[ 0.616  0.384]
[ 0.4565  0.5435]
[ 0.376  0.624]
[ 0.7575  0.2425]
[ 0.68675  0.31325]
[ 0.1622  0.8378]
[ 0.732  0.268]
[ 0.9265  0.0735]
[ 0.7805  0.2195]
[ 0.3285  0.6715]
[ 0.769625  0.230375]
[ 0.256  0.744]
[ 0.26116667  0.73883333]
[ 0.8935  0.1065]
[ 0.491  0.509]
[ 0.15716667  0.84283333]
[ 0.19814583  0.80185417]
[ 0.50675  0.49325]
[ 0.529  0.471]
[ 0.706  0.294]
[ 0.64028571  0.35971429]
[ 0.694  0.306]
[ 0.6515  0.3485]
[ 0.715  0.285]
[ 0.31875  0.68125]
[ 0.789  0.211]
[ 0.708  0.292]
[ 0.869  0.131]
[ 0.4845  0.5155]
[ 0.04735376  0.95264624]
[ 0.03263509  0.96736491]
[ 0.1385  0.8615]
[ 0.613875  0.386125]
[ 0.05428571  0.94571429]
[ 0.6215  0.3785]
[ 0.4655  0.5345]
[ 0.5946  0.4054]
[ 0.03263509  0.96736491]
[ 0.5935  0.4065]
[ 0.914  0.086]
[ 0.9155  0.0845]
[ 0.638  0.362]
[ 0.563  0.437]
[ 0.9155  0.0845]
[ 0.3725  0.6275]
[ 0.5185  0.4815]
[ 0.7805  0.2195]
[ 0.8055  0.1945]
[ 0.723  0.277]
[ 0.875  0.125]
[ 0.559  0.441]
[ 0.6925  0.3075]
[ 0.684  0.316]
[ 0.63725  0.36275]
[ 0.56254762  0.43745238]
[ 0.771  0.229]
[ 0.577  0.423]
[ 0.37266667  0.62733333]
[ 0.3125  0.6875]
[ 0.785  0.215]
[ 0.823  0.177]
[ 0.8215  0.1785]
[ 0.798  0.202]
[ 0.88525  0.11475]
[ 0.2885  0.7115]
[ 0.683  0.317]
[ 0.44516667  0.55483333]
[ 0.9045  0.0955]
[ 0.788  0.212]
[ 0.7335  0.2665]
[ 0.094125  0.905875]
[ 0.38568069  0.61431931]
[ 0.809  0.191]
[ 0.  1.]
[ 0.6335  0.3665]
[ 0.674  0.326]
[ 0.7175  0.2825]
[ 0.524  0.476]
[ 0.7395  0.2605]
[ 0.8  0.2]
[ 0.06410256  0.93589744]
[ 0.06153846  0.93846154]
[ 0.1565  0.8435]
[ 0.946  0.054]
[ 0.28389583  0.71610417]
[ 0.5925  0.4075]
[ 0.15191667  0.84808333]
[ 0.  1.]
[ 0.7815  0.2185]
[ 0.07052897  0.92947103]
[ 0.49991667  0.50008333]
[ 0.25758333  0.74241667]
[ 0.9075  0.0925]
[ 0.2705  0.7295]
[ 0.33333333  0.66666667]
[ 0.566  0.434]
[ 0.559  0.441]
[ 0.02489627  0.97510373]
[ 0.67075  0.32925]
[ 0.03263509  0.96736491]
[ 0.4645  0.5355]
[ 0.608  0.392]
[ 0.59075  0.40925]
[ 0.  1.]
[ 0.4625  0.5375]
[ 0.6635  0.3365]
[ 0.759  0.241]
[ 0.47875  0.52125]
[ 0.6555  0.3445]
[ 0.4235  0.5765]
[ 0.06379585  0.93620415]
[ 0.12121212  0.87878788]
[ 0.9175  0.0825]
[ 0.55983333  0.44016667]
[ 0.08421053  0.91578947]
[ 0.3045  0.6955]
[ 0.06569643  0.93430357]
[ 0.8355  0.1645]
[ 0.4135  0.5865]
[ 0.23725  0.76275]
[ 0.3775  0.6225]
[ 0.828  0.172]
[ 0.646  0.354]
[ 0.6435  0.3565]
[ 0.71275  0.28725]
[ 0.9415  0.0585]
[ 0.05703422  0.94296578]
[ 0.645  0.355]
[ 0.19240952  0.80759048]
[ 0.333  0.667]
[ 0.125  0.875]
[ 0.05854167  0.94145833]
[ 0.39325  0.60675]
[ 0.8375  0.1625]
[ 0.6325  0.3675]
[ 0.644  0.356]
[ 0.32725  0.67275]
[ 0.06823266  0.93176734]
[ 0.05379245  0.94620755]
[ 0.466625  0.533375]
[ 0.05428571  0.94571429]
[ 0.35075  0.64925]
[ 0.474  0.526]
[ 0.888  0.112]
[ 0.2425  0.7575]
[ 0.795  0.205]
[ 0.4515  0.5485]
[ 0.438  0.562]
[ 0.929  0.071]
[ 0.35775  0.64225]
[ 0.8965  0.1035]
[ 0.5795  0.4205]
[ 0.07692308  0.92307692]
[ 0.725  0.275]
[ 0.05379245  0.94620755]
[ 0.04735376  0.95264624]
[ 0.  1.]
[ 0.237  0.763]
[ 0.1725  0.8275]
[ 0.7835  0.2165]
[ 0.8095  0.1905]
[ 0.7425  0.2575]
[ 0.23516667  0.76483333]
[ 0.608  0.392]
[ 0.418  0.582]
[ 0.8825  0.1175]
[ 0.03263509  0.96736491]
[ 0.9085  0.0915]
[ 0.9005  0.0995]
[ 0.03263509  0.96736491]
[ 0.8525  0.1475]
[ 0.03759821  0.96240179]
[ 0.164  0.836]
[ 0.0825  0.9175]
[ 0.19309226  0.80690774]
[ 0.3502  0.6498]
[ 0.36775  0.63225]
[ 0.59633333  0.40366667]
[ 0.292  0.708]
[ 0.8135  0.1865]
[ 0.583  0.417]
[ 0.08871389  0.91128611]
[ 0.56825  0.43175]
[ 0.05379245  0.94620755]
[ 0.6721  0.3279]
[ 0.05997619  0.94002381]
[ 0.8635  0.1365]
[ 0.906  0.094]
[ 0.827  0.173]
[ 0.08139535  0.91860465]
[ 0.908  0.092]
[ 0.612  0.388]
[ 0.06593407  0.93406593]
[ 0.877  0.123]
[ 0.276  0.724]
[ 0.3355  0.6645]
[ 0.5495  0.4505]
[ 0.785  0.215]
[ 0.779  0.221]
[ 0.24709524  0.75290476]
[ 0.03263509  0.96736491]
[ 0.9205  0.0795]
[ 0.7155  0.2845]
[ 0.675  0.325]
[ 0.5155  0.4845]
[ 0.03263509  0.96736491]
[ 0.23825  0.76175]
[ 0.7125  0.2875]
[ 0.5675  0.4325]
[ 0.7305  0.2695]
[ 0.71716667  0.28283333]
[ 0.8755  0.1245]
[ 0.5735  0.4265]
[ 0.551  0.449]
[ 0.03263509  0.96736491]
[ 0.667  0.333]
[ 0.03263509  0.96736491]
[ 0.7855  0.2145]
[ 0.43616667  0.56383333]
[ 0.16658333  0.83341667]
[ 0.03263509  0.96736491]
[ 0.7785  0.2215]
[ 0.40475  0.59525]
[ 0.4785  0.5215]
[ 0.7915  0.2085]
[ 0.845  0.155]
[ 0.3385  0.6615]
[ 0.  1.]
[ 0.6905  0.3095]
[ 0.395  0.605]
[ 0.4475  0.5525]
[ 0.7475  0.2525]
[ 0.571  0.429]
[ 0.7715  0.2285]
[ 0.8385  0.1615]
[ 0.38175  0.61825]
[ 0.34925  0.65075]
[ 0.774  0.226]
[ 0.5685  0.4315]
[ 0.39175  0.60825]
[ 0.08808333  0.91191667]
[ 0.03263509  0.96736491]
[ 0.8155  0.1845]
[ 0.3985  0.6015]
[ 0.8775  0.1225]
[ 0.55504762  0.44495238]
[ 0.35466667  0.64533333]
[ 0.8305  0.1695]
[ 0.875  0.125]
[ 0.51783333  0.48216667]
[ 0.05379245  0.94620755]
[ 0.16725  0.83275]
[ 0.05379245  0.94620755]
[ 0.7555  0.2445]
[ 0.893  0.107]
[ 0.755  0.245]
[ 0.798  0.202]
[ 0.09090909  0.90909091]
[ 0.27004167  0.72995833]
[ 0.6835  0.3165]
[ 0.2085  0.7915]
[ 0.876  0.124]
[ 0.633  0.367]
[ 0.45891667  0.54108333]
[ 0.5135  0.4865]
[ 0.5265  0.4735]
[ 0.844  0.156]
[ 0.4485  0.5515]
[ 0.7255  0.2745]
[ 0.  1.]
[ 0.703  0.297]
[ 0.03263509  0.96736491]
[ 0.408  0.592]
[ 0.8985  0.1015]
[ 0.03263509  0.96736491]
[ 0.91  0.09]
[ 0.16396667  0.83603333]
[ 0.42075  0.57925]
[ 0.697  0.303]
[ 0.41825  0.58175]
[ 0.07142857  0.92857143]
[ 0.783  0.217]
[ 0.0430622  0.9569378]
[ 0.832  0.168]
[ 0.7915  0.2085]
[ 0.84425  0.15575]
[ 0.8835  0.1165]
[ 0.09395973  0.90604027]
[ 0.697  0.303]
[ 0.5175  0.4825]
[ 0.18948333  0.81051667]
[ 0.05379245  0.94620755]
[ 0.58825  0.41175]
[ 0.4565  0.5435]
[ 0.46825  0.53175]
[ 0.238  0.762]
[ 0.821  0.179]
[ 0.05379245  0.94620755]
[ 0.686  0.314]
[ 0.7045  0.2955]
[ 0.348  0.652]
[ 0.566  0.434]
[ 0.358125  0.641875]
[ 0.23725  0.76275]
[ 0.05703422  0.94296578]
[ 0.2035  0.7965]
[ 0.696  0.304]
[ 0.479  0.521]
[ 0.05379245  0.94620755]
[ 0.797  0.203]
[ 0.7515  0.2485]
[ 0.905  0.095]
[ 0.4205  0.5795]
[ 0.8435  0.1565]
[ 0.854  0.146]
[ 0.799  0.201]
[ 0.772  0.228]
[ 0.534  0.466]
[ 0.7735  0.2265]
[ 0.  1.]
[ 0.488  0.512]
[ 0.648  0.352]
[ 0.  1.]
[ 0.3955  0.6045]
[ 0.8575  0.1425]
[ 0.558  0.442]
[ 0.20575  0.79425]
[ 0.  1.]
[ 0.05379245  0.94620755]
[ 0.731  0.269]
[ 0.388375  0.611625]
[ 0.928  0.072]
[ 0.433  0.567]
[ 0.5325  0.4675]
[ 0.6565  0.3435]
[ 0.03263509  0.96736491]
[ 0.246  0.754]
[ 0.473  0.527]
[ 0.35  0.65]
[ 0.4115  0.5885]
[ 0.07233333  0.92766667]
[ 0.193  0.807]
[ 0.60433333  0.39566667]
[ 0.22882917  0.77117083]
[ 0.15233333  0.84766667]
[ 0.803  0.197]
[ 0.03263509  0.96736491]
[ 0.05882353  0.94117647]
[ 0.8635  0.1365]
[ 0.7985  0.2015]
[ 0.33403333  0.66596667]
[ 0.32025  0.67975]
[ 0.342  0.658]
[ 0.7115  0.2885]
[ 0.237  0.763]
[ 0.7515  0.2485]
[ 0.576  0.424]
[ 0.26665  0.73335]
[ 0.456  0.544]
[ 0.42275  0.57725]
[ 0.397  0.603]
[ 0.  1.]
[ 0.4155  0.5845]
[ 0.4525  0.5475]
[ 0.3655  0.6345]
[ 0.829  0.171]
[ 0.881  0.119]
[ 0.627  0.373]
[ 0.1  0.9]
[ 0.819  0.181]
[ 0.8085  0.1915]
[ 0.607  0.393]
[ 0.125  0.875]
[ 0.17401667  0.82598333]
[ 0.4725  0.5275]
[ 0.10204082  0.89795918]
[ 0.56575  0.43425]
[ 0.922  0.078]
[ 0.6295  0.3705]
[ 0.1955625  0.8044375]
[ 0.82854762  0.17145238]
[ 0.5225  0.4775]
[ 0.13766667  0.86233333]
[ 0.03030303  0.96969697]
[ 0.882  0.118]
[ 0.215  0.785]
[ 0.9515  0.0485]
[ 0.05379245  0.94620755]
[ 0.  1.]
[ 0.91  0.09]
[ 0.53  0.47]
[ 0.15168036  0.84831964]
[ 0.5005  0.4995]
[ 0.25  0.75]
[ 0.819  0.181]
[ 0.676  0.324]
[ 0.642  0.358]
[ 0.842  0.158]
[ 0.536  0.464]
[ 0.05379245  0.94620755]
[ 0.7375  0.2625]
[ 0.3615  0.6385]
[ 0.6175  0.3825]
[ 0.9085  0.0915]
[ 0.10058333  0.89941667]
[ 0.834  0.166]
[ 0.0625  0.9375]
[ 0.76725  0.23275]
[ 0.6665  0.3335]
[ 0.03263509  0.96736491]
[ 0.181  0.819]
[ 0.15871667  0.84128333]
[ 0.08720833  0.91279167]
[ 0.02857143  0.97142857]
[ 0.04477612  0.95522388]
[ 0.755  0.245]
[ 0.922  0.078]
[ 0.05800464  0.94199536]
[ 0.03263509  0.96736491]
[ 0.742  0.258]
[ 0.6705  0.3295]
[ 0.439  0.561]
[ 0.05379245  0.94620755]
[ 0.559  0.441]
[ 0.813  0.187]
[ 0.3815  0.6185]
[ 0.834  0.166]
[ 0.564  0.436]
[ 0.3595  0.6405]
[ 0.8405  0.1595]
[ 0.7595  0.2405]
[ 0.9135  0.0865]
[ 0.703  0.297]
[ 0.88  0.12]
[ 0.05379245  0.94620755]
[ 0.05800464  0.94199536]
[ 0.09701493  0.90298507]
[ 0.44  0.56]
[ 0.56  0.44]
[ 0.667  0.333]
[ 0.417  0.583]
[ 0.761  0.239]
[ 0.696  0.304]
[ 0.28826667  0.71173333]
[ 0.836  0.164]
[ 0.756  0.244]
[ 0.6415  0.3585]
[ 0.809  0.191]
[ 0.07575  0.92425]
[ 0.709  0.291]
[ 0.05675  0.94325]
[ 0.03263509  0.96736491]
[ 0.46  0.54]
[ 0.491625  0.508375]
[ 0.6215  0.3785]
[ 0.7455  0.2545]
[ 0.463  0.537]
[ 0.3965  0.6035]
[ 0.35733333  0.64266667]
[ 0.05379245  0.94620755]
[ 0.495  0.505]
[ 0.3095  0.6905]
[ 0.33333333  0.66666667]
[ 0.  1.]
[ 0.47  0.53]
[ 0.5405  0.4595]
[ 0.646  0.354]
[ 0.76025  0.23975]
[ 0.9405  0.0595]
[ 0.919  0.081]
[ 0.18083333  0.81916667]
[ 0.8175  0.1825]
[ 0.59975  0.40025]
[ 0.05379245  0.94620755]
[ 0.03263509  0.96736491]
[ 0.  1.]
[ 0.16270921  0.83729079]
[ 0.6015  0.3985]
[ 0.12569861  0.87430139]
[ 0.6285  0.3715]
[ 0.645  0.355]
[ 0.43175  0.56825]
[ 0.4395  0.5605]
[ 0.6135  0.3865]
[ 0.7205  0.2795]
[ 0.921  0.079]
[ 0.03263509  0.96736491]
[ 0.06823266  0.93176734]
[ 0.0664557  0.9335443]
[ 0.716  0.284]
[ 0.19704286  0.80295714]
[ 0.05379245  0.94620755]
[ 0.16666667  0.83333333]
[ 0.04212168  0.95787832]
[ 0.9205  0.0795]
[ 0.  1.]
[ 0.0664557  0.9335443]
[ 0.06439394  0.93560606]
[ 0.  1.]
[ 0.758  0.242]
[ 0.34  0.66]
[ 0.72075  0.27925]
[ 0.11428571  0.88571429]
[ 0.2175  0.7825]
[ 0.04  0.96]
[ 0.03263509  0.96736491]
[ 0.921  0.079]
[ 0.69054762  0.30945238]
[ 0.213875  0.786125]
[ 0.4655  0.5345]
[ 0.71  0.29]
[ 0.519  0.481]
[ 0.444  0.556]
[ 0.664  0.336]
[ 0.54438942  0.45561058]
[ 0.03263509  0.96736491]
[ 0.3915  0.6085]
[ 0.906  0.094]
[ 0.799  0.201]
[ 0.5945  0.4055]
[ 0.766  0.234]
[ 0.22225  0.77775]
[ 0.7555  0.2445]
[ 0.73  0.27]
[ 0.882  0.118]
[ 0.8905  0.1095]
[ 0.8785  0.1215]
[ 0.09677419  0.90322581]
[ 0.6995  0.3005]
[ 0.579  0.421]
[ 0.21593333  0.78406667]
[ 0.497  0.503]
[ 0.8015  0.1985]
[ 0.502  0.498]
[ 0.  1.]
[ 0.47  0.53]
[ 0.53304167  0.46695833]
[ 0.8775  0.1225]
[ 0.6175  0.3825]
[ 0.798  0.202]
[ 0.674  0.326]
[ 0.085  0.915]
[ 0.914  0.086]
[ 0.03263509  0.96736491]
[ 0.4655  0.5345]
[ 0.04735376  0.95264624]
[ 0.6875  0.3125]
[ 0.  1.]
[ 0.3205  0.6795]
[ 0.03263509  0.96736491]
[ 0.  1.]
[ 0.03703704  0.96296296]
[ 0.0664557  0.9335443]
[ 0.21527273  0.78472727]
[ 0.02489627  0.97510373]
[ 0.887  0.113]
[ 0.7155  0.2845]
[ 0.44816667  0.55183333]
[ 0.2  0.8]
[ 0.557  0.443]
[ 0.842  0.158]
[ 0.787  0.213]
[ 0.4555  0.5445]
[ 0.03263509  0.96736491]
[ 0.193  0.807]
[ 0.9455  0.0545]
[ 0.  1.]
[ 0.  1.]
[ 0.03263509  0.96736491]
[ 0.48175  0.51825]
[ 0.06477733  0.93522267]
[ 0.8425  0.1575]
[ 0.03263509  0.96736491]
[ 0.50621667  0.49378333]
[ 0.03263509  0.96736491]
[ 0.03263509  0.96736491]
[ 0.13378846  0.86621154]
[ 0.183  0.817]
[ 0.03263509  0.96736491]
[ 0.  1.]
[ 0.5305  0.4695]
[ 0.941  0.059]
[ 0.1495  0.8505]
[ 0.412  0.588]
[ 0.05800464  0.94199536]
[ 0.737  0.263]
[ 0.713  0.287]
[ 0.03263509  0.96736491]
[ 0.1827381  0.8172619]
[ 0.1626  0.8374]
[ 0.893  0.107]
[ 0.07673077  0.92326923]
[ 0.05379245  0.94620755]
[ 0.524  0.476]
[ 0.03263509  0.96736491]
[ 0.624  0.376]
[ 0.3855  0.6145]
[ 0.80575  0.19425]
[ 0.62675  0.37325]
[ 0.03263509  0.96736491]
[ 0.6985  0.3015]
[ 0.13133333  0.86866667]
[ 0.8895  0.1105]
[ 0.636  0.364]
[ 0.  1.]
[ 0.37491388  0.62508612]
[ 0.459  0.541]
[ 0.026  0.974]
[ 0.40625  0.59375]
[ 0.3025  0.6975]
[ 0.787  0.213]
[ 0.4265  0.5735]
[ 0.3945  0.6055]
[ 0.8015  0.1985]
[ 0.7095  0.2905]
[ 0.728  0.272]
[ 0.685  0.315]
[ 0.9495  0.0505]
[ 0.3985  0.6015]
[ 0.707  0.293]
[ 0.1439375  0.8560625]
[ 0.595  0.405]
[ 0.  1.]
[ 0.613  0.387]
[ 0.38775  0.61225]
[ 0.1011236  0.8988764]
[ 0.26177083  0.73822917]
[ 0.6505  0.3495]
[ 0.604  0.396]
[ 0.03263509  0.96736491]
[ 0.8255  0.1745]
[ 0.1535  0.8465]
[ 0.8225  0.1775]
[ 0.7695  0.2305]
[ 0.791  0.209]
[ 0.660125  0.339875]
[ 0.6565  0.3435]
[ 0.752  0.248]
[ 0.167375  0.832625]
[ 0.8755  0.1245]
[ 0.209  0.791]
[ 0.8895  0.1105]
[ 0.19791667  0.80208333]
[ 0.159  0.841]
[ 0.03263509  0.96736491]
[ 0.36375  0.63625]
[ 0.144875  0.855125]
[ 0.07163333  0.92836667]
[ 0.515  0.485]
[ 0.7985  0.2015]
[ 0.41425  0.58575]
[ 0.793  0.207]
[ 0.04735376  0.95264624]
[ 0.876  0.124]
[ 0.14457917  0.85542083]
[ 0.17025  0.82975]
[ 0.2865  0.7135]
[ 0.59175  0.40825]
[ 0.2954902  0.7045098]
[ 0.6385  0.3615]
[ 0.21995  0.78005]
[ 0.17107335  0.82892665]
[ 0.7665  0.2335]
[ 0.53225  0.46775]
[ 0.165  0.835]
[ 0.11105833  0.88894167]
[ 0.04735376  0.95264624]
[ 0.6705  0.3295]
[ 0.2963625  0.7036375]
[ 0.125  0.875]
[ 0.16525  0.83475]
[ 0.456  0.544]
[ 0.8525  0.1475]
[ 0.24203152  0.75796848]
[ 0.613  0.387]
[ 0.07017544  0.92982456]
[ 0.14778939  0.85221061]
[ 0.3615  0.6385]
[ 0.22075  0.77925]
[ 0.68  0.32]
[ 0.5505  0.4495]
[ 0.555  0.445]
[ 0.  1.]
[ 0.04735376  0.95264624]
[ 0.315  0.685]
[ 0.4405  0.5595]
[ 0.455  0.545]
[ 0.7455  0.2545]
[ 0.9205  0.0795]
[ 0.06475  0.93525]
[ 0.494  0.506]
[ 0.4765  0.5235]
[ 0.  1.]
[ 0.3556  0.6444]
[ 0.06896667  0.93103333]
[ 0.76  0.24]
[ 0.3285  0.6715]
[ 0.9055  0.0945]
[ 0.5125  0.4875]
[ 0.427  0.573]
[ 0.29191667  0.70808333]
[ 0.20497917  0.79502083]
[ 0.21846667  0.78153333]
[ 0.784  0.216]
[ 0.23675  0.76325]
[ 0.832  0.168]
[ 0.582  0.418]
[ 0.28504545  0.71495455]
[ 0.8825  0.1175]
[ 0.7755  0.2245]
[ 0.4075  0.5925]
[ 0.755  0.245]
[ 0.39125  0.60875]
[ 0.10526316  0.89473684]
[ 0.3365  0.6635]
[ 0.03263509  0.96736491]
[ 0.6675  0.3325]
[ 0.771  0.229]
[ 0.21  0.79]
[ 0.692  0.308]
[ 0.8305  0.1695]
[ 0.3180625  0.6819375]
[ 0.1655  0.8345]
[ 0.426  0.574]
[ 0.23325972  0.76674028]
[ 0.3995  0.6005]
[ 0.653625  0.346375]
[ 0.04735376  0.95264624]
[ 0.11111111  0.88888889]
[ 0.04735376  0.95264624]
[ 0.793  0.207]
[ 0.7545  0.2455]
[ 0.8815  0.1185]
[ 0.  1.]
[ 0.097875  0.902125]
[ 0.0290125  0.9709875]
[ 0.8185  0.1815]
[ 0.21  0.79]
[ 0.27375  0.72625]
[ 0.4065  0.5935]
[ 0.0664557  0.9335443]
[ 0.774  0.226]
[ 0.05300353  0.94699647]
[ 0.13270313  0.86729687]
[ 0.  1.]
[ 0.9155  0.0845]
[ 0.  1.]
[ 0.2115  0.7885]
[ 0.11111111  0.88888889]
[ 0.6415  0.3585]
[ 0.6005  0.3995]
[ 0.748  0.252]
[ 0.04661654  0.95338346]
[ 0.544  0.456]
[ 0.5385  0.4615]
[ 0.0425881  0.9574119]
[ 0.7095  0.2905]
[ 0.5465  0.4535]
[ 0.2705  0.7295]
[ 0.8145  0.1855]
[ 0.30775  0.69225]
[ 0.6935  0.3065]
[ 0.10344828  0.89655172]
[ 0.32015  0.67985]
[ 0.5085  0.4915]
[ 0.221  0.779]
[ 0.8465  0.1535]
[ 0.5595  0.4405]
[ 0.663  0.337]
[ 0.9075  0.0925]
[ 0.725  0.275]
[ 0.07325  0.92675]
[ 0.04735376  0.95264624]
[ 0.5865  0.4135]
[ 0.578  0.422]
[ 0.55  0.45]
[ 0.33076667  0.66923333]
[ 0.6205  0.3795]
[ 0.161625  0.838375]
[ 0.03263509  0.96736491]
[ 0.1815  0.8185]
[ 0.603  0.397]
[ 0.7555  0.2445]
[ 0.472  0.528]
[ 0.763  0.237]
[ 0.5045  0.4955]
[ 0.637  0.363]
[ 0.6105  0.3895]
[ 0.03263509  0.96736491]
[ 0.776  0.224]
[ 0.554  0.446]
[ 0.15665275  0.84334725]
[ 0.30756667  0.69243333]
[ 0.05808333  0.94191667]
[ 0.3785  0.6215]
[ 0.882  0.118]
[ 0.04953333  0.95046667]
[ 0.02406513  0.97593487]
[ 0.6195  0.3805]
[ 0.01641667  0.98358333]
[ 0.864  0.136]
[ 0.22222222  0.77777778]
[ 0.03820977  0.96179023]
[ 0.05882353  0.94117647]
[ 0.6005  0.3995]
[ 0.04735376  0.95264624]
[ 0.4015  0.5985]
[ 0.03263509  0.96736491]
[ 0.12197917  0.87802083]
[ 0.3695  0.6305]
[ 0.3415  0.6585]
[ 0.16925  0.83075]
[ 0.13704167  0.86295833]
[ 0.05379245  0.94620755]
[ 0.14285714  0.85714286]
[ 0.1983125  0.8016875]
[ 0.71  0.29]
[ 0.04735376  0.95264624]
[ 0.489  0.511]
[ 0.917  0.083]
[ 0.5045  0.4955]
[ 0.06682028  0.93317972]
[ 0.8655  0.1345]
[ 0.39275  0.60725]
[ 0.26958333  0.73041667]
[ 0.18141667  0.81858333]
[ 0.07023411  0.92976589]
[ 0.13125  0.86875]
[ 0.8395  0.1605]
[ 0.  1.]
[ 0.8515  0.1485]
[ 0.35  0.65]
[ 0.301  0.699]
[ 0.02030263  0.97969737]
[ 0.35235  0.64765]
[ 0.06823266  0.93176734]
[ 0.7095  0.2905]
[ 0.8585  0.1415]
